year;month;day;hour;day_week;date_id
2022;4;19;16;3;897
2022;4;20;1;4;898
2022;4;20;2;4;899
2022;4;20;3;4;900
2022;4;20;6;4;901
2022;4;20;7;4;902
2022;4;20;8;4;903
2022;4;20;9;4;904
2022;4;20;10;4;905
2022;4;20;11;4;906
2022;4;20;12;4;907
2022;4;20;13;4;908
2022;4;20;14;4;909
2022;4;20;15;4;910
2022;4;20;16;4;911
2022;4;20;18;4;912
2022;4;20;20;4;913
2022;4;21;0;5;914
2022;4;21;1;5;915
2022;4;21;3;5;916
2022;4;21;4;5;917
2022;4;21;5;5;918
2022;4;21;6;5;919
2022;4;21;7;5;920
2022;4;21;8;5;921
2022;4;21;9;5;922
2022;4;21;10;5;923
2022;4;21;11;5;924
2022;4;21;12;5;925
2022;4;21;13;5;926
2022;4;21;14;5;927
2022;4;21;15;5;928
2022;4;21;23;5;929
2022;4;22;0;6;930
2022;4;22;1;6;931
2022;4;22;2;6;932
2022;4;22;4;6;933
2022;4;22;6;6;934
2022;4;22;7;6;935
2022;4;22;8;6;936
2022;4;22;9;6;937
2022;4;22;12;6;938
2022;4;22;15;6;939
2022;4;22;17;6;940
2022;4;22;18;6;941
2022;4;22;19;6;942
2022;4;22;20;6;943
2022;4;23;0;7;944
2022;4;23;1;7;945
2022;4;23;2;7;946
2022;4;23;3;7;947
2022;4;23;5;7;948
2022;4;23;10;7;949
2022;4;23;14;7;950
2022;4;23;21;7;951
2022;4;24;2;1;952
2022;4;24;16;1;953
2022;4;24;21;1;954
2022;4;25;2;2;955
2022;4;25;4;2;956
2022;4;25;5;2;957
2022;4;25;7;2;958
2022;4;25;8;2;959
2022;4;25;9;2;960
2022;4;25;10;2;961
2022;4;25;11;2;962
2022;4;25;12;2;963
2022;4;25;13;2;964
2022;4;25;14;2;965
2022;4;25;15;2;966
2022;4;25;16;2;967
2022;4;26;2;3;968
2022;4;26;3;3;969
2022;4;26;6;3;970
2022;4;26;7;3;971
2022;4;26;8;3;972
2022;4;26;9;3;973
2022;4;26;10;3;974
2022;4;26;11;3;975
2022;4;26;12;3;976
2022;4;26;13;3;977
2022;5;9;9;2;978
2022;5;9;10;2;979
2022;5;9;11;2;980
2022;5;9;12;2;981
2022;5;9;13;2;982
2022;5;9;14;2;983
2022;5;9;15;2;984
2022;5;9;16;2;985
2022;5;9;17;2;986
2022;5;9;18;2;987
2022;5;9;22;2;988
2022;5;10;3;3;989
2022;5;10;6;3;990
2022;5;10;7;3;991
2022;5;10;8;3;992
2022;5;10;9;3;993
2022;5;10;10;3;994
2022;5;10;11;3;995
2022;5;10;12;3;996
2022;5;10;13;3;997
2022;5;10;14;3;998
2022;5;10;15;3;999
2022;5;10;16;3;1000
2022;5;10;19;3;1001
2022;5;10;22;3;1002
2022;5;10;23;3;1003
2022;5;11;2;4;1004
2022;5;11;3;4;1005
2022;5;11;5;4;1006
2022;5;11;6;4;1007
2022;5;11;7;4;1008
2022;5;11;8;4;1009
2022;5;11;9;4;1010
2022;5;11;10;4;1011
2022;5;11;11;4;1012
2022;5;11;12;4;1013
2022;5;11;13;4;1014
2022;5;11;14;4;1015
2022;5;11;15;4;1016
2022;5;11;16;4;1017
2022;5;11;17;4;1018
2022;5;11;18;4;1019
2022;5;11;19;4;1020
2022;5;11;23;4;1021
2022;5;12;0;5;1022
2022;5;12;1;5;1023
2022;5;12;4;5;1024
2022;5;12;7;5;1025
2022;5;12;8;5;1026
2022;5;12;9;5;1027
2022;5;12;10;5;1028
2022;5;12;11;5;1029
2022;5;12;12;5;1030
2022;5;12;13;5;1031
2022;5;12;14;5;1032
2022;5;12;15;5;1033
2022;5;12;16;5;1034
2022;5;12;20;5;1035
2022;5;13;1;6;1036
2022;5;13;2;6;1037
2022;5;13;6;6;1038
2022;5;13;7;6;1039
2022;5;13;8;6;1040
2022;5;13;9;6;1041
2022;5;13;10;6;1042
2022;5;13;11;6;1043
2022;5;13;12;6;1044
2022;5;13;13;6;1045
2022;5;13;14;6;1046
2022;5;13;15;6;1047
2022;5;14;1;7;1048
2022;5;14;2;7;1049
2022;5;14;6;7;1050
2022;5;14;8;7;1051
2022;5;14;9;7;1052
2022;5;14;21;7;1053
2022;5;15;19;1;1054
2022;5;15;22;1;1055
2022;5;16;0;2;1056
2022;5;16;1;2;1057
2022;5;16;2;2;1058
2022;5;16;3;2;1059
2022;5;16;5;2;1060
2022;5;16;6;2;1061
2022;5;16;7;2;1062
2022;5;16;8;2;1063
2022;5;16;9;2;1064
